Sunnyside School Rain Gage - 3421 SE. Salmon St.



PROVISIONAL, UNCORRECTED RAW DATA FROM THE CITY OF PORTLAND HYDRA NETWORK.

Data are the number of tips of the rain gage bucket.

Each tip is 0.01 inches of rainfall.

 [-, missing data]

Dates and times are PACIFIC STANDARD TIME.



            Daily  Hourly data -->

   Date     Total    0   1   2   3   4   5   6   7   8   9  10  11  12  13  14  15  16  17  18  19  20  21  22  23

------------------------------------------------------------------------------------------------------------------

28-MAR-2016     2    0   0   0   1   1   0   0   0   0   0   0   0

27-MAR-2016     5    0   0   0   0   0   1   0   0   0   0   0   0   0   3   1   0   0   0   0   0   0   0   0   0

26-MAR-2016     5    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   2   2   0   1   0   0   0

25-MAR-2016     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0

24-MAR-2016     6    0   1   1   0   0   0   0   0   0   0   0   2   0   0   0   0   0   2   0   0   0   0   0   0

23-MAR-2016    12    0   0   0   0   0   0   0   0   0   7   0   0   0   0   0   0   0   0   2   0   1   1   1   0

22-MAR-2016     1    0   1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0

21-MAR-2016     8    0   0   0   2   2   0   2   0   1   0   0   0   0   0   0   0   0   0   0   0   0   1   0   0

20-MAR-2016    18    0   0   0   0   0   0   0   0   4   8   0   0   2   3   1   0   0   0   0   0   0   0   0   0

19-MAR-2016     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0

18-MAR-2016     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0

17-MAR-2016     0    0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0

16-MAR-2016     8    3   2   0   1   0   2   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0

15-MAR-2016    24    0   0   1   0   0   1   0   0   1   2   1   3   1   3   4   2   2   1   1   0   1   0   0   0

14-MAR-2016    15    0   4   2   1   1   1   1   0   1   0   0   0   1   0   1   0   0   0   0   1   0   1   0   0

13-MAR-2016    77    2   2   2   0   0   3   8  11  15  13   3   1   0   0   2   6   5   0   0   1   1   2   0   0

12-MAR-2016    56    1   0   0   4  13   1   0   1   1   0   0   3   2   5   1   1   9   0   2   2   0   6   3   1

11-MAR-2016    20    0   0   0   0   0   0   0   0   0   0   1   0   0   0   1   3   1   0   2   2   2   1   3   4

10-MAR-2016    32   13   0   0   0   0   0   0   3   2   0   0   0   0  10   3   1   0   0   0   0   0   0   0   0

09-MAR-2016    81    0   0   0   0   0   0   3   2   0   5   5   7   1   6  11  23   7   3   3   0   0   2   0   3

08-MAR-2016    15    0   0   0   0   0   0   0   0   0   0   1   2   0   2   1   4   1   0   0   2   2   0   0   0

07-MAR-2016    16    2   3   0   0   0   2   0   0   0   0   0   0   0   8   0   0   1   0   0   0   0   0   0   0

06-MAR-2016    34    0   0   2   2   7   0   0   1   0   7   0   0   0   0   0   2   4   5   0   1   3   0   0   0

